,Star_name,Distance,Mass,Radius
0,0,Sun,0.000015813,1
1,1,Sirius,0008.6,2.1
2,2,Canopus,0310,15
3,3,Alpha Centauri,0004.4,1.1
4,4,Arcturus,0037,1.1
5,5,Vega,0025,2.2
6,6,Capella,0043,2.6
7,7,Rigel,0860,23
8,8,Procyon,0011.4,1.5
9,9,Betelgeuse,0640[1],20
10,10,Achernar,0144,6.7
11,11,Hadar,0390,10.5
12,12,Altair,0017,1.8
13,13,Acrux,0320,18
14,14,Aldebaran,0065,1.5
15,15,Antares,0600,12
16,16,Spica,0260,11.43
17,17,Pollux,0034,1.9
18,18,Fomalhaut,0025,1.9
19,19,Deneb,"2,600",19
20,20,Mimosa,0350,16
21,21,Regulus,0077,3.8
22,22,Adhara,0430,12.5
23,23,Shaula,0700,14.5
24,24,Castor,0052,2.8
25,25,Gacrux,0088,1.5
26,26,Bellatrix,0240,8.6
27,27,Elnath,0130,5.0
28,28,Miaplacidus,0110,3.5
29,29,Alnilam,"2,000",32
30,30,Gamma Velorum,"01,100",9.0
31,31,Alnair,0101,4.0
32,32,Alioth,0081,2.9
33,33,Alnitak,01050,33
34,34,Dubhe,0120,4.25
35,35,Mirfak,0590,8.5
36,36,Wezen,"1,600",17
37,37,Sargas,0270,5.7
38,38,Kaus Australis,0140,3.5
39,39,Avior,0630,9.0
40,40,Alkaid,0104,6.1
41,41,Menkalinan,081,2.39
42,42,Atria,0390,7
43,43,Alhena,0109,2.8
44,44,Peacock,0180,5.9
45,45,Alsephina[2],0080,2.4
46,46,Mirzam,0500,13.5
47,47,Polaris,0430,5.4
48,48,Alphard,0180,3.0
49,49,Scheat,0196,2.1
50,50,Almaaz,0653,15
51,51,Rasalgethi,0360,2.8
52,52,Tau Ceti,011.9,0.783
53,53,Delta Pavonis,019.92,0.991
54,54,Ran,010.48,0.82
55,55,V382 Carinae,"08,900",20
56,56,Eta Carinae,"07,500",100
57,57,Delta Cephei,0887,4.5
58,58,Mu Cephei,"06,000",19.2
59,59,Titawin,044.25,1.27
60,60,Rho Cassiopeiae,"08,154",22
61,61,P Cygni,"05,545",30
62,62,La Superba,"01,000",
63,63,VV Cephei,"04,900",18.2
64,64,61 Cygni,011.41,0.7
65,65,R Doradus,0178,0.7 - 1.0
66,66,Polaris Australis,0281,1.59
67,67,R Coronae Borealis,"04,566",0.85
68,68,54 Piscium,036.1,0.76
69,69,Mira,0300,1.2
70,70,RW Cephei,"014,000",13.9
71,71,Lacaille 8760,012.87,0.6
72,72,V838 Monocerotis,"019,896",?
73,73,HD 140283,0190,?
74,74,II Pegasi,0130,0.8
75,75,VY Canis Majoris,"03,900",17
76,76,Pistol Star,"025,000",100
77,77,S Doradus,"0169,000",24
78,78,UY Scuti,"05,100",7–10
79,79,Barnard's Star,05.98,0.14
80,80,Luhman 16,06.52,0.04
81,81,Proxima Centauri,04.25,0.12
82,82,KIC 8462852,"01,470",1.43
83,83,R136a1,"0163,000",290
84,84,Melnick 42,"0163,000",189
85,85,WR 102,"018,134",19
86,86,VFTS 352,"0164,000",57.48
87,87,YBP 1194,"02,772",1.01
88,88,Gliese 1214,047.5,0.16
89,89,NML Cygni,"05,251",50
90,90,VB 10,018.72,0.075
91,91,WOH G64,"0163,000",<20
92,92,TRAPPIST-1,039.6,0.089
93,93,2MASS J0523-1403,040.3,0.07
94,94,WISE 0855−0714,07.27,0.003
95,95,Icarus,"014,400,000,000",33
96,0,SDSS J000013.54+255418.6 [de],46.1,0.045820224
97,1,2MASS J00040288-6410358,192.0,0.018137172
98,2,2MASS J00242463-0158201,37.7,0.075412452
99,3,2MASS J00274197+0503417,236.0,0.029592228
100,4,2MASSW J0030300-145033,87.2,0.051547752
101,5,2MASS J00332386-1521309 [de],131.0,0.027683052
102,6,2MASS J00345157+0523050,31.0,0.040092696000000004
103,7,2MASS 0036+1821,28.6,0.040092696000000004
104,8,2MASSW J0045214+163445,57.0,0.021955524
105,9,WISEP J004701.06+680352.1 [fr],40.0,0.011455056
106,10,2MASS J00501994-3322402 [de],34.0,0.03818352
107,11,2MASS J00584253-0651239 [de],96.0,0.027683052
108,12,2MASSI J0103320+193536,70.0,0.049638576000000004
109,13,SDSSp J010752.33+004156.1 [de],51.0,0.049638576000000004
110,14,2MASSI J0117474-340325 [de],163.0,0.01909176
111,15,2MASS J01415823-4633574 [de],130.0,0.01909176
112,16,SDSS J015141.69+124429.6,70.0,0.044865636
113,17,SDSS J020742.48+000056.2 [de],111.0,0.044865636
114,18,2MASS J02103857-3015313,101.0,0.014318820000000001
115,19,2MASS J02340093-6442068,155.0,0.01909176
116,20,2MASS J02411151-0326587 [de],152.0,0.025773876
117,21,2MASS J02431371−2453298,35.0,0.031501404000000004
118,22,LP 771-21,53.0,0.074457864
119,23,Teegarden's star,12.578,0.07636704
120,24,2MASS J02535980+3206373,184.0,0.06204822
121,25,WISE J0254+0223,24.0,0.06204822
122,26,DEN 0255-4700,16.2,0.07636704
123,27,2MASS J03185403-3421292 [de],45.0,0.046774812
124,28,2MASS J03205965+1854233,47.0,0.084003744
125,29,2MASS J03231002-4631237,192.0,0.021955524
126,30,SDSS J032553.17+042540.1,59.0,0.04295646
127,31,2MASS J03264225-2102057 [de],80.0,0.017182584
128,32,2MASS J03284265+2302051 [de],98.0,0.051547752
129,33,2MASS J03341218-4953322,27.0,0.069684924
130,34,LP 944-20,20.9,0.069684924
131,35,2MASP J0345432+254023,88.0,0.070639512
132,36,Teide 1,380.0,0.05250234
133,37,2MASS J03510004-0052452,48.0,0.09736797600000001
134,38,2MASS J03552337+1133437,29.8,0.01909176
135,39,2MASS J04151954−0935066,18.6,0.028637640000000002
136,40,2MASS J04285096-2253227 [de],85.0,0.07636704
137,41,2MASS J04351612-1606574,34.0,0.0954588
138,42,2MASS J04362788-4114465,142.0,0.037228932
139,43,2MASS J04390101-2353083 [de],29.5,0.045820224
140,44,2MASS J04433764+0002040,82.0,0.021000936
141,45,2MASS J04455387-3048204 [de],42.0,0.061093632
142,46,2MASS J04510093-3402150 [de],69.0,0.00099277152
143,47,2MASS J05002100+0330501 [de],44.0,0.061093632
144,48,2MASS J05012406-0010452 [de],64.0,0.020046348000000002
145,49,2MASS J05160945-0445499 [de],73.0,0.044865636
146,50,2MASS J0523−1403,40.0,0.064911984
147,51,SDSS J053951.99-005902.0,41.62,0.058229868000000004
148,52,LSR 0602+3910 [de],34.6,0.026728464
149,53,2MASS J06085283-2753583,102.0,0.036274344
150,54,2MASS J06244595-4521548 [de],39.0,0.053456928
151,55,2MASS J06411840-4322329 [de],65.0,0.063957396
152,56,DENIS-P J0652197-253450 [de],51.0,0.07159410000000001
153,57,2MASS J07075327-4900503,60.0,0.068730336
154,58,UGPS J072227.51-054031.2,13.4,0.024819288000000002
155,59,2MASSI J0727182+171001 [de],29.6,0.039138108
156,60,2MASS J07290002-3954043 [de],25.8,0.035319756
157,61,SDSS J074201.41+205520.5 [de],49.0,0.041047284
158,62,DENIS-P J0751164-253043 [de],55.0,0.067775748
159,63,2MASS J07522390+1612157,60.0,0.00191872188
160,64,DENIS J081730.0-615520,16.1,0.042001872
161,65,2MASS J08251968+2115521 [de],35.0,0.049638576000000004
162,66,SDSSp J083008.12+482847.4 [de],43.0,0.045820224
163,67,LHS 2021,55.0,0.084003744
164,68,SDSS J083048.80+012831.1 [de],77.0,0.043911048
165,69,2MASSI J0835425-081923 [de],23.53,0.059184456
166,70,2MASSI J0847287-153237 [de],43.0,0.061093632
167,71,2MASS J08533619-0329321,27.6,0.073503276
168,72,2MASSI J0859254-194926 [de],50.0,0.0477294
169,73,2MASSI J0937347+293142,20.0,0.040092696000000004
170,74,2MASS 0939−2448,17.4,0.030546816
171,75,2MASS J09490860-1545485 [de],59.0,0.046774812
172,76,2MASS J10073369-4555147,46.0,0.042001872
173,77,2MASSI J1010148-040649 [de],55.0,0.048683988000000004
174,78,2MASS J10224821+5825453 [de],60.0,0.025773876
175,79,2MASSW J1036530-344138 [de],53.0,0.046774812
176,80,2MASS J1047538+212423 [de],34.4,0.040092696000000004
177,81,DEN 1048-3956,13.15,0.073503276
178,82,Luhman 16B,6.516,0.041047284
179,83,Luhman 16A,6.516,0.03818352
180,84,DENIS-P J1058.7−1548,49.0,0.061093632
181,85,TWA 28,180.0,0.034365168
182,86,Cha 110913-773444,163.0,0.007636704
183,87,SDSS J111010.01+011613.1,63.0,0.008591292
184,88,2MASS J11145133−2618235,18.2,0.031501404000000004
185,89,TWA 26,137.0,0.028637640000000002
186,90,2MASS J11544223-3400390 [de],129.0,0.035319756
187,91,2MASSW J1155395-372735 [de],31.0,0.061093632
188,92,2MASS J12074836-3900043,217.0,0.016227996
189,93,2MASSI J1217110-031113 [de],36.0,0.040092696000000004
190,94,2M 1237+6526,45.6,0.039138108
191,95,TWA 29,262.0,0.001909176
192,96,SDSSp J125453.90-012247.4 [de],38.0,0.044865636
193,97,Kelu-1A,61.0,0.060139044
194,98,Kelu-1B,61.0,0.055366104
195,99,2MASS J13204427+0409045,101.0,0.063957396
196,100,SDSSp J132629.82-003831.5 [de],65.0,0.048683988000000004
197,101,SDSSp J134646.45-003150.4 [de],48.0,0.042001872
198,102,2MASS J13595510-4034582,51.0,0.060139044
199,103,ULAS J141623.94+134836.3,29.7,0.030546816
200,104,SDSS J141659.78+500626.4 [de],149.0,0.056320692
201,105,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348000000002
202,106,LHS 2924,38.5,0.072548688
203,107,2MASS J14392837+1929150,47.0,0.068730336
204,108,LSPM J1440+1339,72.0,0.087822096
205,109,2MASS J14482563+1031590 [de],47.0,0.056320692
206,110,CFBDSIR 1458+10A,104.0,0.0105959268
207,111,CFBDSIR 1458+10B,104.0,0.008591292
208,112,TVLM 513-46546,35.1,0.07159410000000001
209,113,2MASS 1503+2525,20.7,0.042001872
210,114,CFBDS J150411+102717,71.0,0.042001872
211,115,2MASSW J1506544+132106 [de],46.0,0.065866572
212,116,2MASS 1507−1627,23.9,0.057275280000000005
213,117,TVLM 868-110639,53.0,0.075412452
214,118,2MASSW J1515008+484742 [de],34.0,0.054411516
215,119,2MASSI J1526140+204341 [de],67.0,0.051547752
216,120,DENIS-P J153941.96-052042.4 [de],51.0,0.060139044
217,121,2MASS J15462718-3325111 [de],37.0,0.042001872
218,122,2MASSW J1552591+294849 [de],68.0,0.028637640000000002
219,123,2MASSW J1555157-095605 [de],44.0,0.067775748
220,124,2MASS J16150413+1340079 [de],48.0,0.040092696000000004
221,125,SDSSp J162414.37+002915.6 [de],36.0,0.041047284
222,126,2MASS J16262034+3925190 [de],110.0,0.067775748
223,127,2MASSW J1632291+190441 [de],50.0,0.046774812
224,128,WISEPA J164715.59+563208.2,28.0,0.039138108
225,129,LSPM J1658+7027 [de],60.0,0.069684924
226,130,2MASSI J1726000+153819,114.0,0.022910112
227,131,SDSSp J175032.96+175903.9,90.0,0.044865636
228,132,2MASS J18283572-4849046,39.0,0.04295646
229,133,LSR J1835+3259,18.5,0.073503276
230,134,2MASSW J1841086+311727,138.0,0.063957396
231,135,2MASS J18432213+4040209,46.0,0.091640448
232,136,2MASS J20004841-7523070,105.0,0.0238647
233,137,SDSS J204749.61-071818.3,65.0,0.043911048
234,138,2MASSI J2057540-025230,47.0,0.06682116
235,139,2MASSI J2104149-103736,62.0,0.065866572
236,140,PSO J318.5−22,80.0,0.0062048220000000005
237,141,HB 2124-4228,113.0,0.089731272
238,142,2MASS J21392676+0220226,32.1,0.043911048
239,143,2MASS J21481628+4003593,26.3,0.05250234
240,144,2MASSW J2206450-421721,93.0,0.021000936
241,145,2MASSW J2208136+292121,154.0,0.025773876
242,146,2MASSW J2224438-015852,38.0,0.058229868000000004
243,147,2MASS J22282889-4310262,35.0,0.040092696000000004
244,148,2MASS J22373255+3922398,64.0,0.069684924
245,149,2MASSW J2244316+204343,56.0,0.011455056
246,150,2MASS J23224684-3133231,56.0,0.022910112
247,151,2MASS J23225299-6151275,148.0,0.016227996
248,152,2MASS J23515044-2537367,67.0,0.084003744
249,153,2MASSI J2356547-155310,74.0,0.07636704
250,154,WISE 0410+1502,20.0,0.005727528
251,155,WISE 0458+6434A,35.9,0.014318820000000001
252,156,WISE 0458+6434B,35.9,0.00954588
253,157,WISE 1405+5534,25.3,0.028637640000000002
